"datasetid","sitename","lat","lon","n_samples","n_baseline","signal_onset_age","persistent","baseline_bc_mean","baseline_bc_sd","threshold","signal_onset_bc","n_exceed_after_onset","pct_exceed_after"
20285,"Over Gunnarsfjorden",NA,NA,113,31,NA,FALSE,0.4406,0.152,0.7447,NA,0,0
20293,"Over Kobbkrokvatnet",NA,NA,58,15,NA,FALSE,0.2369,0.1109,0.4588,NA,0,0
4338,"Pamerkiai Outcrop",54.3125,24.73111,20,9,6580,TRUE,0.1363,0.0549,0.246,0.3112,9,81.8
49654,"Pantene Mire",57.86306,25.21806,37,18,6797.941,FALSE,0.2215,0.0534,0.3283,0.358,8,42.1
46544,"Parika",58.48888,25.77353,41,11,6534,TRUE,0.2204,0.0528,0.326,0.377,28,93.3
48926,"Pitkasoo",58.27111,22.22222,66,26,6648,TRUE,0.1848,0.0578,0.3005,0.3011,34,91.9
49432,"Probstenwerder",54.21785,10.29035,50,12,6943.8,TRUE,0.0738,0.034,0.1417,0.3754,37,97.4
4360,"Ptichje",66.35,30.56667,29,12,NA,FALSE,0.2012,0.0956,0.3924,NA,0,0
4362,"Punso",57.68477,27.25948,38,12,4269,FALSE,0.1824,0.0905,0.3634,0.3683,1,5.6
4332,"Påidre",58.27592,25.50484,61,28,NA,FALSE,0.2397,0.0815,0.4028,NA,0,0
4369,"Raigastvere Lake",58.59222,26.64967,97,33,5311,TRUE,0.1679,0.0635,0.2949,0.3084,42,85.7
4370,"Ran Viken",56.28145,14.29056,124,34,4333,TRUE,0.0977,0.0393,0.1763,0.1848,27,57.4
45722,"Reiersdalvann",NA,NA,84,20,1869,TRUE,0.1841,0.0777,0.3395,0.3753,27,84.4
53131,"Reinskaret bog",62.80639,11.94056,30,12,6609,FALSE,0.2376,0.0655,0.3686,0.4082,2,11.8
4390,"Rudushskoe Lake",56.5,27.55,32,9,4260,FALSE,0.4019,0.0837,0.5693,0.5712,2,11.1
4393,"Ryönänsuo",NA,NA,66,10,3477,FALSE,0.2648,0.0785,0.4218,0.4379,23,47.9
4372,"Råttuvarri",69.35,20.31667,25,11,6966,FALSE,0.1966,0.0481,0.2928,0.3003,2,14.3
45347,"Råtåsj¢en",62.26667,9.83333,55,20,NA,FALSE,0.201,0.0746,0.3502,NA,0,0
20060,"Sandvikvatn",NA,NA,41,13,6673,FALSE,0.2676,0.0617,0.3909,0.4084,6,21.4
49656,"Sarnate",57.10861,21.44083,34,17,NA,FALSE,0.3988,0.0719,0.5426,NA,0,0
4414,"Shepeta Bog",55.78333,25.16667,22,5,6765,FALSE,0.2582,0.1032,0.4646,0.5335,7,41.2
54003,"Stavsåkra",57.02417,14.81306,61,19,5650,TRUE,0.2807,0.089,0.4587,0.4877,19,52.8
54016,"Stobydeltat",56.16667,13.83333,80,19,2637,TRUE,0.2188,0.1019,0.4226,0.7138,21,75
53988,"Stor-flen",60.3,14.58333,84,11,4388,FALSE,0.1907,0.0916,0.374,0.5578,28,45.9
54004,"Storasjö",56.93333,15.26667,67,25,473,FALSE,0.2373,0.1152,0.4676,0.5461,3,50
54005,"Storasjö",56.93333,15.26667,67,25,473,FALSE,0.2373,0.1152,0.4676,0.5461,3,50
45331,"Storsandvatnet",63.4575,8.45444,59,25,3586,TRUE,0.1936,0.0661,0.3257,0.3609,13,100
53968,"Storsnasen",63.23333,12.41667,74,32,6090,TRUE,0.2066,0.0488,0.3041,0.3399,37,100
19906,"Styggtjärnen",NA,NA,77,8,NA,FALSE,0.1408,0.0571,0.255,NA,0,0
4466,"Sudoble Lake",54.03333,28.1,36,10,6717,TRUE,0.1314,0.0741,0.2796,0.3115,15,60
4468,"Suovalampi",69.603,28.83694,32,10,NA,FALSE,0.2693,0.1209,0.5111,NA,0,0
48917,"Surusoo bog",58.52611,22.42306,51,18,6969,TRUE,0.1539,0.0557,0.2652,0.5308,33,100
48919,"Surusoo bog",58.52611,22.42306,51,18,6969,TRUE,0.1539,0.0557,0.2652,0.5308,33,100
48921,"Surusoo bog",58.52611,22.42306,51,18,6969,TRUE,0.1539,0.0557,0.2652,0.5308,33,100
48923,"Surusoo bog",58.52611,22.42306,51,18,6969,TRUE,0.1539,0.0557,0.2652,0.5308,33,100
62017,"Svanåvatnet",66.41667,14.05,81,29,NA,FALSE,0.2875,0.1068,0.5011,NA,0,0
45343,"Svartvatnet",63.35139,8.87778,55,16,4034,TRUE,0.1993,0.0461,0.2915,0.3237,16,66.7
4470,"Svencele Bog",55.49528,21.29222,51,7,6911,TRUE,0.147,0.0555,0.2579,0.5513,44,100
49658,"Svetinu lake",56.76028,27.14944,42,12,1634.585,TRUE,0.1915,0.0767,0.3449,0.3597,7,87.5
4472,"Syrjälänsuo",61.21667,28.11667,72,30,4335,FALSE,0.1252,0.0602,0.2457,0.2803,5,17.2
49477,"Thorsberger Moor",54.64245,9.77247,92,7,4021,TRUE,0.2668,0.115,0.4968,0.5011,39,58.2
45345,"Tiåvatnet",63.05972,9.41694,78,14,NA,FALSE,0.2356,0.0926,0.4208,NA,0,0
4490,"Tondi",59.43194,24.89246,50,9,4462,FALSE,0.1816,0.0996,0.3808,0.3985,18,47.4
52088,"Toskaljarvi",69.2,21.46667,160,43,5605.2,FALSE,0.1571,0.0786,0.3143,0.3313,2,2.1
20042,"Trettetjørn",60.71667,7,47,7,6399,TRUE,0.145,0.0522,0.2494,0.2515,31,83.8
4494,"Trollvatnet",NA,NA,24,10,NA,FALSE,0.2054,0.0619,0.3291,NA,0,0
20058,"Trondheimsfjord",63.47717,10.19417,32,18,6216,TRUE,0.1667,0.0824,0.3315,0.3804,3,100
53986,"Trygåsen (II)",61.76667,13.33333,45,6,6044,TRUE,0.0885,0.0512,0.1909,0.238,29,76.3
4500,"Tytuvenu Tyrelis",55.58333,23.3,52,18,6186,TRUE,0.2184,0.0845,0.3874,0.4522,21,72.4
4510,"Vasikkasuo",64.67355,27.8601,54,18,2895,FALSE,0.2495,0.0869,0.4234,0.4242,2,18.2
55045,"Vaskna",57.71167,27.07833,28,12,6512,TRUE,0.2994,0.091,0.4813,0.6067,13,81.2
48928,"Vedruka",58.33007,22.06158,86,10,6327,TRUE,0.244,0.0643,0.3726,0.3847,36,53.7
55053,"Velise",58.75667,24.46028,51,23,3816,FALSE,0.4178,0.0838,0.5854,0.6047,1,12.5
20050,"Vestre Øykjamyrtjørn",59.81667,6,66,16,6277,FALSE,0.1667,0.0601,0.2869,0.3083,10,20.8
45385,"Viitna Linajärv",59.45139,26.01389,37,14,6753,TRUE,0.117,0.0329,0.1829,0.186,20,87
45387,"Viitna Linajärv",59.45139,26.01389,36,8,6386,TRUE,0.122,0.0415,0.205,0.22,25,92.6
55815,"Viitna Pikkjärv",59.44639,26.01056,36,13,6959,TRUE,0.1073,0.0301,0.1676,0.1947,21,91.3
49660,"Viki Mire",56.51722,22.91472,37,15,5993.538,TRUE,0.2356,0.0747,0.3851,0.5326,11,64.7
46514,"Vishnevskoe Lake",60.50222,29.51694,60,27,5364,TRUE,0.1183,0.0437,0.2057,0.2784,12,60
45312,"Vuolep Allasasjaure",68.16667,18.16667,79,20,2809,TRUE,0.1494,0.0526,0.2546,0.2809,19,82.6
45311,"Vuoskkujávri",68.34556,19.1,59,18,6864,FALSE,0.1499,0.0653,0.2806,0.3027,17,41.5
45389,"Väike Juusa",58.05917,26.51722,70,21,6942,TRUE,0.2363,0.0804,0.3972,0.4202,30,61.2
45393,"Vällamäe",57.73722,27.06917,56,6,4221,TRUE,0.2846,0.077,0.4386,0.5102,21,52.5
45395,"Vällamäe",57.73722,27.06917,52,9,5951,FALSE,0.3252,0.0463,0.4178,0.4278,3,7.1
53964,"Västragylet",56.35,14.88333,42,4,6715.8,TRUE,0.0492,0.0129,0.0749,0.1558,36,97.3
4523,"Vôhma Mire",58.5205,25.42171,50,11,6376,TRUE,0.1266,0.0468,0.2202,0.2854,23,60.5
4539,"Ylimysneva",62.13333,22.86667,49,13,5266,FALSE,0.2788,0.084,0.4469,0.6324,5,17.9
22845,"Zarnowiec Peat Bog",54.72321,18.10602,69,22,6571,TRUE,0.138,0.0572,0.2525,0.2588,42,95.5
62021,"Ähijärv",57.71139,26.49778,116,29,4,FALSE,0.1728,0.0983,0.3693,0.3797,1,50
3882,"Åntu Sinijarv",59.0608,26.24178,40,13,6557,TRUE,0.1396,0.0435,0.2267,0.2544,20,80
45704,"Øygardstjønn",NA,NA,44,12,1407,TRUE,0.146,0.0407,0.2274,0.233,4,66.7
45400,"Ümarjärv",59.17528,27.46167,54,24,6676,FALSE,0.1356,0.0537,0.243,0.3048,11,39.3
