"datasetid","sitename","lat","lon","lag","region","total_bc"
45379,"Lake Ruila",59.175,24.43111,-2844,"Scandinavia",0.2872
52255,"Lake Skogstjern",59.00694,9.63833,646.25,"Scandinavia",0.3643
4445,"Lake Solsø",NA,NA,-1143,"Scandinavia",0.3661
4446,"Lake Solsø",NA,NA,-803,"Scandinavia",0.1334
4403,"Lake Sämbosjön",57.16313,12.41426,-2759,"Scandinavia",0.2814
53980,"Lake Tibenatus",68.33583,18.69306,-4268.222,"Scandinavia",0.5141
4496,"Lake Trummen",56.863,14.82952,-2587,"Scandinavia",0.2298
46453,"Lake Uzlovoye",61.09306,29.74528,-899,"Scandinavia",0.2137
45391,"Lake Verijärv",57.80833,27.05833,-3631,"Scandinavia",0.3044
4194,"Leikishke Bog",54.53333,23.53333,-5162,"Scandinavia",0.4358
4194,"Leikishke Bog",54.53333,23.53333,-5162,"Scandinavia",0.169121785049178
46469,"Lembolovskoye lake",60.3575,30.31333,553,"Scandinavia",0.3101
53119,"Lervahå bog",62.795,11.88667,-530,"Scandinavia",0.3107
4203,"Liivjarve Bog",59.30546,27.57509,-2454,"Scandinavia",0.5552
4200,"Lilla Gloppsjön",59.80167,14.62333,-5653,"Scandinavia",0.2414
45713,"Lille Kjelavatn",NA,NA,-144,"Scandinavia",0.1674
55917,"Lina myr",57.57549,18.63309,-870,"Scandinavia",0.3076
45707,"Lisletjønn",NA,NA,-2250,"Scandinavia",0.1387
20279,"Liten Cap’pesjav’ri",NA,NA,-3061,"Scandinavia",0.3368
45636,"Litlvatnet",NA,NA,-2576,"Scandinavia",0.2543
53966,"Ljustjärnen",59.76,14.48222,-4388,"Scandinavia",0.2535
24110,"Mabo Moss",58.02114,16.05602,-648,"Scandinavia",0.5134
4257,"Masehjavri",69.04527,20.97475,-1722,"Scandinavia",0.3205
4259,"Mayralampi",62.34206,26.23393,620,"Scandinavia",0.218
4263,"Mezhgornoe",66.36667,30.7,-3514,"Scandinavia",0.4544
4497,"Mire Johvika",58.4848,22.38803,-1707,"Scandinavia",0.4582
4346,"Mire Petrolivo",56,31.98333,-2230,"Scandinavia",0.5593
45404,"Mire Saviku",58.4,27.23333,785,"Scandinavia",0.2493
45329,"Morttjern",59.05972,11.61778,-2507,"Scandinavia",0.2179
46490,"Mshinskoye raised bog",59.01111,29.97722,670,"Scandinavia",0.4655
4286,"Mukkavaara",68.91667,21,-99,"Scandinavia",0.2479
45377,"Mustjärve bog",59.075,24.1,1100,"Scandinavia",0.4634
44941,"Myrvatnet",NA,NA,-5556,"Scandinavia",0.3036
45351,"Måsåtjørnet",61.5625,10.26778,-2799,"Scandinavia",0.2772
46477,"Nikolsko-Lutinskoye bog",NA,NA,-4677,"Scandinavia",0.3967
46457,"Nizhneosinovskoye peat bog",60.68702,29.14831,-5025,"Scandinavia",0.5377
49388,"Oldenburg-Priesterwiese",54.29385,10.88231,-10,"Scandinavia",0.476
4325,"Osvea",56.05,28.08333,799,"Scandinavia",0.3517
4338,"Pamerkiai Outcrop",54.3125,24.73111,-987,"Scandinavia",0.3112
49654,"Pantene Mire",57.86306,25.21806,-3658.847,"Scandinavia",0.358
46544,"Parika",58.48888,25.77353,-3130,"Scandinavia",0.377
48926,"Pitkasoo",58.27111,22.22222,-816,"Scandinavia",0.3011
49432,"Probstenwerder",54.21785,10.29035,1143.8,"Scandinavia",0.3754
4369,"Raigastvere Lake",58.59222,26.64967,-489,"Scandinavia",0.3084
